computer science
automated pattern recognition
subtraction technique
nonrigid registration
non-rigid registration
manifold learning
nonlinear dimensionality reduction
locality preserving projections
locality preserving projection
gait recognition
dimensionality reduction
small sample size problems
small sample size problem
random projections
random projection
high dimensional data
high-dimensional data
action recognition
human actions
human-action recognition
human action recognition
human pose
support vector machine
extreme learning machine
feedforward neural networks
feedforward neural network
extreme learning machine %28elm%29
support vector machines %28svms%29
artificial intelligence
decision theory
decision analysis
decision procedure
decision procedures
binary decision diagram %28bdd%29
decision diagram
decision diagrams
binary decision diagrams
decision tables
incomplete information systems
attribute reduction
condition attributes
discernibility matrix
discernibility
decision table
sat solvers
analytic network process
analytic network process %28anp%29
group decision-making
group decision
decision models
decision model
computability and decidability
model checking problem
satisfiability
satisfiability problems
satisfiability problem
linear temporal logic
timed automata
tree automata
conjunctive queries
separation logic
datalog
query answering
query rewritings
query rewriting
regular languages
sequent calculus
modal logic
coalgebra
coalgebras
modal logics
description logic
fuzzy description logic
description logics
push-down automata
pushdown automata
decision trees
decision-tree algorithm
ensemble classifiers
ensemble classifier
classifier ensembles
classifier ensemble
fuzzy decision trees
fuzzy decision tree
random forests
random forest
spatial queries
spatial index
spatial indices
interpretability
genetic fuzzy systems
hmm-based speech synthesis
synthesized speech
data stream
continuous queries
continuous query
concept drifts
concept drift
data streams
ensemble learning
ensemble methods
boosting
decision tree
dempster-shafer theory
combination rules
fuzzy analytic hierarchy process
grey system theory
gm %281 %2C 1%29 model
gm %281 %2C 1%29
ordered weighted averaging
ordered weighted averaging operator
many valued logics
many-valued logic
evaluation models
fuzzy evaluation
evaluation model
clinical decision support
clinical decision support systems
logic synthesis
choquet integral
sugeno integrals
sugeno integral
intelligent control
control and automation
smart sensors
distributed parameter systems
distributed parameter system
industrial automation
ultrashort pulses
pulse repetition rate
saturable absorbers
passively mode-locked
q-switched
pulse energies
ultrafast lasers
mode-locked laser
femto-second laser
femtosecond laser
femtoseconds
femtosecond
mode-locked fiber lasers
laser damage
optical coatings
hafnium compounds
fused silica
